1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,country
37.35,60.694,70.406,47.317,17.113,15.255,14.072,11.777,12.523,12.733,14.749,16.506,16.312,13.348,12.32,14.61,15.482,15.794,17.166,17.766,11.47,12.234,14.205,17.528,20.302,24.6,28.883,34.044,38.659,34.601,43.327,53.849,56.854,63.702,54.285,49.437,56.144,60.385,67.259,68.353,70.008,79.599,72.243,76.628,75.647,76.707,81.79,87.22,93.094,Ghana
0.842,0.808,0.692,0.703,0.654,0.697,0.789,0.728,0.828,0.832,0.685,0.744,0.823,1.003,1.176,1.332,1.495,1.587,1.5,1.488,1.497,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.471,7.662,14.529,16.329,20.319,23.527,27.893,28.846,29.908,Guyana
3.968,4.044,4.267,4.477,4.915,5.278,5.678,6.191,6.877,7.877,4.923,4.649,4.944,4.961,4.642,5.415,5.217,5.736,6.366,6.417,7.187,7.651,7.858,8.23,8.869,9.757,10.917,12.361,13.882,14.587,15.839,17.71,18.529,18.5,19.757,20.98,21.718,23.136,24.068,25.091,23.662,28.291,31.523,33.992,35.882,37.796,39.982,42.336,44.815,Honduras
23.042,23.629,24.064,21.839,21.174,21.441,24.698,27.144,29.703,30.323,34.366,34.754,38.731,40.125,43.167,46.426,46.659,47.297,48.707,49.073,47.218,53.75,67.609,85.285,104.121,113.211,115.716,140.187,158.326,131.069,132.175,141.942,128.814,135.684,141.034,125.174,128.61,143.112,160.566,164.011,157.227,182.275,180.013,203.829,222.201,238.873,255.592,271.32,287.962,Hungary
189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,301.234,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.867,476.61,493.953,523.97,618.358,721.589,834.217,949.117,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2294.797,2651.474,2702.93,2835.606,2671.596,3150.307,3389.689,3732.224,4105.381,4511.847,4951.615,5427.392,5944.382,India
95.846,101.481,125.8,156.927,161.721,180.541,208.928,277.019,311.932,379.427,581.008,304.065,50.472,64.449,79.818,114.941,158.032,184.138,205.0,275.092,366.917,330.978,132.682,158.416,188.961,228.428,272.361,360.928,425.699,440.408,517.899,625.43,421.882,428.321,460.809,408.288,458.042,486.829,333.774,241.658,195.528,289.294,346.479,366.438,386.218,401.186,416.548,433.566,454.495,Iran
24.915,26.399,28.292,31.553,29.871,27.763,34.179,40.823,50.57,51.453,60.715,68.873,76.961,77.351,88.297,104.893,114.507,118.861,120.057,120.922,136.034,134.637,125.06,131.299,139.974,147.084,158.67,184.053,220.53,211.968,238.364,266.792,262.919,297.636,314.092,302.724,320.96,357.229,375.151,399.652,411.731,489.71,525.003,521.688,539.835,569.039,598.906,629.423,661.409,Israel
2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.44,5.453,6.549,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.213,13.865,14.154,14.108,14.755,15.648,15.808,13.885,14.674,17.003,18.761,20.101,21.043,21.828,22.599,23.402,Jamaica
1127.876,1243.79,1157.601,1268.62,1345.204,1427.354,2121.25,2584.339,3134.179,3117.068,3196.556,3657.348,3988.334,4544.766,4998.798,5545.566,4923.393,4492.449,4098.363,4635.982,4968.36,4374.71,4182.845,4519.564,4893.135,4831.467,4601.663,4579.75,5106.679,5289.494,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5050.683,5011.869,4237.528,4230.862,4286.187,4524.629,4710.142,4873.159,5157.927,Japan
3.932,4.416,4.713,4.953,5.003,5.033,6.445,6.794,6.364,4.279,4.187,4.373,5.403,5.615,6.321,6.759,7.054,7.389,8.163,8.414,8.725,9.268,9.972,10.575,11.771,13.134,15.795,17.957,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.667,43.432,44.566,43.641,45.18,47.519,50.022,52.656,55.592,58.691,61.963,65.418,Jordan
0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.036,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.156,0.181,0.19,0.185,0.178,0.171,0.179,0.188,0.196,0.175,0.178,0.228,0.224,0.246,0.26,0.272,0.283,0.295,0.307,Kiribati
65.368,72.934,78.349,87.761,97.511,101.296,116.836,147.949,199.593,246.929,283.365,330.658,355.516,392.731,463.432,566.595,610.164,570.594,382.855,497.254,576.483,547.743,626.989,702.696,792.532,934.708,1052.61,1172.465,1049.168,943.739,1143.568,1253.419,1278.046,1370.633,1484.489,1466.039,1499.362,1623.074,1725.373,1651.423,1644.676,1818.432,1673.917,1709.232,1784.805,1873.342,1957.354,2042.701,2129.427,"Korea, Republic of"
40.19,34.72,34.616,32.988,30.89,30.384,24.756,23.009,25.87,27.446,31.627,34.995,35.459,31.912,29.719,33.739,36.827,37.702,30.921,37.129,39.498,35.206,21.128,27.026,34.054,48.852,60.094,68.211,86.804,60.809,75.381,48.17,92.542,75.352,57.373,48.718,49.913,67.153,76.682,69.28,46.921,35.224,37.796,40.194,43.949,46.353,47.772,48.258,48.979,Libya
6.434,5.549,4.557,4.473,4.385,4.544,6.611,8.211,9.301,9.903,12.628,13.683,15.328,15.714,17.487,20.571,20.464,18.428,19.263,21.088,21.24,21.388,23.633,29.66,35.049,37.693,42.912,51.593,58.838,54.408,56.26,61.685,59.814,65.204,68.823,60.078,62.2,65.689,71.033,69.898,73.64,85.641,81.706,89.095,94.028,99.089,103.768,107.855,112.016,Luxembourg
