1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,country
46.5,50.7,54.3,53.9,53.3,48.6,48.6,50.6,54.6,55.0,56.1,58.0,68.6,77.7,97.7,110.6,116.1,127.5,117.7,103.1,99.3,97.6,97.4,94.1,116.4,145.6,161.8,206.2,242.5,232.5,286.5,335.0,370.7,382.1,381.2,293.5,282.7,311.9,334.1,323.1,270.2,318.5,343.6,363.8,373.4,390.3,410.6,432.8,456.1,Colombia
0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.0,1.0,1.1,1.2,1.2,1.2,1.3,1.2,1.4,1.4,1.5,1.6,1.7,1.8,Comoros
68.6,59.7,64.9,52.4,35.0,31.9,35.8,33.9,39.3,40.0,41.4,40.2,36.3,47.4,25.7,25.0,32.1,28.8,21.1,19.1,19.1,7.2,8.7,9.0,10.3,12.7,15.4,18.6,22.7,18.6,22.3,26.4,30.1,34.9,38.4,40.2,38.1,39.5,48.0,50.9,48.7,57.3,65.8,67.5,73.3,81.2,89.6,99.0,108.8,"Congo, Dem. Rep. of the"
2.2,1.8,1.5,1.4,1.3,1.3,1.8,2.2,2.3,2.5,2.9,3.0,3.3,3.0,2.1,2.5,2.8,2.6,2.2,2.6,3.6,3.0,3.3,3.9,5.1,6.7,8.1,8.8,11.6,9.7,13.2,15.7,17.7,18.0,17.9,11.9,10.9,11.8,14.8,14.0,11.5,13.4,14.0,14.4,15.4,16.2,17.2,18.1,19.2,"Congo, Republic of "
4.9,2.6,2.6,3.2,3.7,3.9,4.4,4.6,4.6,5.2,5.7,7.2,8.6,9.6,10.5,11.6,11.7,12.6,13.7,14.3,15.0,16.0,16.6,17.3,18.6,20.0,22.7,26.9,30.8,30.7,37.7,42.8,47.2,50.9,52.0,56.4,58.8,60.5,62.4,64.4,62.4,64.6,68.4,85.6,91.9,97.2,102.6,108.3,113.9,Costa Rica
2.3,2.2,2.3,2.3,2.4,2.6,3.3,4.0,4.6,4.9,6.0,6.2,7.4,7.1,8.0,9.9,10.0,9.5,10.3,10.5,10.0,10.4,11.4,14.6,17.3,18.7,20.4,24.1,28.0,26.0,25.8,27.6,25.1,24.0,23.2,19.9,21.0,22.9,25.6,25.9,25.0,28.4,28.5,32.0,34.1,36.1,38.2,40.1,42.0,Cyprus
13.9,11.5,10.3,9.3,9.3,9.5,12.7,13.9,14.1,13.5,14.9,14.5,15.4,15.3,11.5,15.2,16.8,16.2,17.4,17.1,14.9,15.5,17.1,21.2,22.9,23.6,24.6,28.2,33.6,33.7,34.4,35.5,37.0,43.2,48.9,45.8,48.4,52.5,58.5,59.9,63.1,71.8,70.2,79.4,86.9,94.5,102.3,109.8,118.3,Côte d'Ivoire
71.1,61.9,60.4,60.6,59.1,62.7,88.1,109.4,115.6,112.4,138.2,139.2,152.9,143.2,156.2,185.0,187.6,173.5,177.0,178.0,164.2,164.8,178.6,218.1,251.4,264.5,282.9,319.4,353.4,321.2,322.0,344.0,327.1,343.6,353.0,302.7,313.1,332.1,356.8,346.5,354.8,405.7,401.1,420.8,431.2,448.4,466.9,485.3,504.8,Denmark
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,Dominica
8.7,9.7,9.1,9.5,14.9,6.5,7.9,8.3,7.6,8.6,8.0,9.9,11.6,13.1,14.6,16.6,18.2,20.0,21.7,22.1,24.3,25.6,27.2,21.5,22.5,35.9,38.0,44.1,48.2,48.3,53.9,58.1,60.7,62.8,67.3,71.3,75.8,80.1,85.6,89.0,78.9,94.5,113.9,120.6,127.9,137.3,147.5,158.2,169.6,Dominican Republic
